review_id,hotel_id,rating,publish_decision,rejection_reasons,tags,sentiment,summary,review_text
HOTEL_001_a7d64c0468de,HOTEL_002,4,REJECT,Phone number or email address present,SENTIMENT_NEUTRAL; CONTACT_INFO_MENTIONED,SENTIMENT_NEUTRAL,,"For complaints, contact info@hotel.in"
HOTEL_001_652d034b987e,HOTEL_002,1,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,The owner Mr. Sharma was helpful but Breakfast and restaurant food quality could be better.
HOTEL_001_e4e99d74c771,HOTEL_002,5,REJECT,Phone number or email address present,SENTIMENT_NEUTRAL; CONTACT_INFO_MENTIONED,SENTIMENT_NEUTRAL,,"For complaints, contact info@hotel.in"
HOTEL_001_57f9be8bdbe6,HOTEL_002,4,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,Bloody awful Hotel location and nearby attractions! Worst experience ever!
HOTEL_001_9a1377c9cf0a,HOTEL_002,3,REJECT,"Contains spam, advertisements, or links",SENTIMENT_NEUTRAL; SPAM_SUSPECT,SENTIMENT_NEUTRAL,,Check out my blog: www.myhotelreviews.com for more reviews about Hotel location and nearby attractions
HOTEL_001_9a725749d47e,HOTEL_002,4,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,Manager Priya was nice but the Safety and security measures was disappointing.
HOTEL_001_d68de5d441c8,HOTEL_002,4,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,"The owner Mr. Sharma was helpful but Pool, gym, and other amenities could be better."
HOTEL_001_e0db23d2e83a,HOTEL_002,1,REJECT,"Contains spam, advertisements, or links",SENTIMENT_NEUTRAL; SPAM_SUSPECT,SENTIMENT_NEUTRAL,,Check out my blog: www.myhotelreviews.com for more reviews about Hotel location and nearby attractions
HOTEL_001_70d4f58b104b,HOTEL_002,4,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,The damn Noise levels and quiet atmosphere was horrible! Waste of money!
HOTEL_001_2a0d732cc04b,HOTEL_002,4,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,Bloody awful Bathroom quality and amenities! Worst experience ever!
HOTEL_001_70e0659ce14c,HOTEL_002,3,REJECT,"Contains spam, advertisements, or links",SENTIMENT_NEUTRAL; SPAM_SUSPECT,SENTIMENT_NEUTRAL,,Check out my blog: www.myhotelreviews.com for more reviews about Cleanliness and room condition
HOTEL_001_9ac55a24d5aa,HOTEL_002,4,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,The damn Staff behavior and customer service was horrible! Waste of money!
HOTEL_001_37b04ac4aac6,HOTEL_002,5,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,"Location is great, Rs. 5023 seemed expensive though. Cleanliness and room condition was average."
HOTEL_001_af6f69db8db4,HOTEL_002,3,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,Bloody awful Bathroom quality and amenities! Worst experience ever!
HOTEL_001_2582687ef6d8,HOTEL_002,5,REJECT,Phone number or email address present,SENTIMENT_NEUTRAL; CONTACT_INFO_MENTIONED,SENTIMENT_NEUTRAL,,"For complaints, contact admin@grandparadise.com"
HOTEL_001_6cb09f0ca06b,HOTEL_002,1,REJECT,Phone number or email address present,SENTIMENT_NEUTRAL; CONTACT_INFO_MENTIONED,SENTIMENT_NEUTRAL,,"For complaints, contact 9876543210"
HOTEL_001_ec7b42068e52,HOTEL_002,3,REJECT,Phone number or email address present,SENTIMENT_NEUTRAL; CONTACT_INFO_MENTIONED,SENTIMENT_NEUTRAL,,"For complaints, contact admin@grandparadise.com"
HOTEL_001_4e76dbd62b62,HOTEL_002,3,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,The owner Mr. Sharma was helpful but Staff behavior and customer service could be better.
HOTEL_001_a53338a9783b,HOTEL_002,2,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,The damn Maintenance and repairs was horrible! Waste of money!
HOTEL_001_014c9ecd84d4,HOTEL_002,1,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,Bloody awful Hotel location and nearby attractions! Worst experience ever!
HOTEL_001_6a49d08fdc8a,HOTEL_002,5,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,"The owner Mr. Sharma was helpful but Pool, gym, and other amenities could be better."
HOTEL_001_9826769cfeb5,HOTEL_002,5,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,The room was nice but I paid ₹5781 per night. Maintenance and repairs was okay.
HOTEL_001_d29339400b90,HOTEL_002,4,REJECT,Phone number or email address present,SENTIMENT_NEUTRAL; CONTACT_INFO_MENTIONED,SENTIMENT_NEUTRAL,,"For complaints, contact 9876543210"
HOTEL_001_1d662e129e4d,HOTEL_002,2,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,The room was nice but I paid ₹3737 per night. Noise levels and quiet atmosphere was okay.
HOTEL_001_a019e12fc912,HOTEL_002,2,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,The owner Mr. Sharma was helpful but Maintenance and repairs could be better.
HOTEL_001_ac311f5735b0,HOTEL_002,5,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,"Bloody awful Pool, gym, and other amenities! Worst experience ever!"
HOTEL_001_5ae66174e4e6,HOTEL_002,4,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,The room was nice but I paid ₹7054 per night. Parking availability and quality was okay.
HOTEL_001_205f1ff42214,HOTEL_002,4,REJECT,"Contains spam, advertisements, or links",SENTIMENT_NEUTRAL; SPAM_SUSPECT,SENTIMENT_NEUTRAL,,Check out my blog: www.myhotelreviews.com for more reviews about Noise levels and quiet atmosphere
HOTEL_001_62116cf82933,HOTEL_002,3,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,"Location is great, Rs. 4010 seemed expensive though. Pool, gym, and other amenities was average."
HOTEL_001_dcb610c3ab6e,HOTEL_002,5,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,Bloody awful Cleanliness and room condition! Worst experience ever!
HOTEL_001_7e616184e095,HOTEL_002,1,REJECT,"Contains spam, advertisements, or links",SENTIMENT_NEUTRAL; SPAM_SUSPECT,SENTIMENT_NEUTRAL,,"Check out my blog: www.myhotelreviews.com for more reviews about Pool, gym, and other amenities"
HOTEL_001_119c55f4bf0a,HOTEL_002,5,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,The owner Mr. Sharma was helpful but WiFi quality and connectivity could be better.
HOTEL_001_e0e86b89120d,HOTEL_002,5,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,Bloody awful Cleanliness and room condition! Worst experience ever!
HOTEL_001_b592c9f18787,HOTEL_002,4,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,The owner Mr. Sharma was helpful but Maintenance and repairs could be better.
HOTEL_001_e6fddb717ac6,HOTEL_002,3,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,I paid 5394 rupees which felt high. Hotel location and nearby attractions was decent.
HOTEL_001_0d13469ba10f,HOTEL_002,4,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,I paid 3442 rupees which felt high. Parking availability and quality was decent.
HOTEL_001_b2e3e91694c1,HOTEL_002,3,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,"Location is great, Rs. 5374 seemed expensive though. Pool, gym, and other amenities was average."
HOTEL_001_f364a7b3570c,HOTEL_002,1,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,The damn Cleanliness and room condition was horrible! Waste of money!
HOTEL_001_9001a7f56510,HOTEL_002,4,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,"The owner Mr. Sharma was helpful but Pool, gym, and other amenities could be better."
HOTEL_001_b8a9cc537946,HOTEL_002,5,REJECT,Phone number or email address present,SENTIMENT_NEUTRAL; CONTACT_INFO_MENTIONED,SENTIMENT_NEUTRAL,,"For complaints, contact admin@grandparadise.com"
HOTEL_001_36e2f2ef0160,HOTEL_002,3,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,I paid 3354 rupees which felt high. Staff behavior and customer service was decent.
HOTEL_001_dfa3f4f8153c,HOTEL_002,4,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,I paid 3222 rupees which felt high. Check-in and check-out experience was decent.
HOTEL_001_c82c17140268,HOTEL_002,4,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,Bloody awful Safety and security measures! Worst experience ever!
HOTEL_001_4be698153ec5,HOTEL_002,5,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,I paid 2355 rupees which felt high. Parking availability and quality was decent.
HOTEL_001_4ab2a0202a15,HOTEL_002,4,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,Manager Priya was nice but the Maintenance and repairs was disappointing.
HOTEL_001_8d97ee9e3e0f,HOTEL_002,4,REJECT,"Contains spam, advertisements, or links",SENTIMENT_NEUTRAL; SPAM_SUSPECT,SENTIMENT_NEUTRAL,,Check out my blog: www.myhotelreviews.com for more reviews about Cleanliness and room condition
HOTEL_001_d48f02630510,HOTEL_002,3,REJECT,Phone number or email address present,SENTIMENT_NEUTRAL; CONTACT_INFO_MENTIONED,SENTIMENT_NEUTRAL,,"For complaints, contact info@hotel.in"
HOTEL_001_e18a4ef3023a,HOTEL_002,4,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,I paid 5589 rupees which felt high. Safety and security measures was decent.
HOTEL_001_9dd6eda39a1a,HOTEL_002,5,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,"Location is great, Rs. 5048 seemed expensive though. Parking availability and quality was average."
HOTEL_001_b9d6c9c75385,HOTEL_002,3,REJECT,Phone number or email address present,SENTIMENT_NEUTRAL; CONTACT_INFO_MENTIONED,SENTIMENT_NEUTRAL,,"For complaints, contact info@hotel.in"
HOTEL_001_c5e9fe7cb99d,HOTEL_002,3,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,"Spoke with owner Rajesh Kumar about Pool, gym, and other amenities - he promised improvements."
HOTEL_001_c677ac04f70e,HOTEL_002,5,REJECT,"Contains spam, advertisements, or links",SENTIMENT_NEUTRAL; SPAM_SUSPECT,SENTIMENT_NEUTRAL,,"Check out my blog: www.myhotelreviews.com for more reviews about Pool, gym, and other amenities"
HOTEL_001_57d166f1b6ef,HOTEL_002,5,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,Spoke with owner Rajesh Kumar about Parking availability and quality - he promised improvements.
HOTEL_001_3034cd383f90,HOTEL_002,5,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,"Location is great, Rs. 5550 seemed expensive though. WiFi quality and connectivity was average."
HOTEL_001_6ea2bf45feb6,HOTEL_002,4,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,Spoke with owner Rajesh Kumar about Staff behavior and customer service - he promised improvements.
HOTEL_001_5c07e5eb3f99,HOTEL_002,5,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,Bloody awful Maintenance and repairs! Worst experience ever!
HOTEL_001_ee0cb58aa396,HOTEL_002,4,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,The owner Mr. Sharma was helpful but Hotel location and nearby attractions could be better.
HOTEL_001_0826a99dcf5e,HOTEL_002,3,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,The damn Cleanliness and room condition was horrible! Waste of money!
HOTEL_001_9032966f6313,HOTEL_002,4,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,"Location is great, Rs. 5554 seemed expensive though. WiFi quality and connectivity was average."
HOTEL_001_d3a5b1d109b3,HOTEL_002,4,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,The owner Mr. Sharma was helpful but Noise levels and quiet atmosphere could be better.
HOTEL_001_80563d2ab671,HOTEL_002,3,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,The room was nice but I paid ₹4353 per night. Noise levels and quiet atmosphere was okay.
HOTEL_001_bb96964103fa,HOTEL_002,4,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,Manager Priya was nice but the Noise levels and quiet atmosphere was disappointing.
HOTEL_001_bb765b960eed,HOTEL_002,5,REJECT,"Contains spam, advertisements, or links",SENTIMENT_NEUTRAL; SPAM_SUSPECT,SENTIMENT_NEUTRAL,,Check out my blog: www.myhotelreviews.com for more reviews about Maintenance and repairs
HOTEL_001_b20446cd6f15,HOTEL_002,2,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,The owner Mr. Sharma was helpful but Hotel location and nearby attractions could be better.
HOTEL_001_bd0c9e895ea6,HOTEL_002,5,REJECT,Phone number or email address present,SENTIMENT_NEUTRAL; CONTACT_INFO_MENTIONED,SENTIMENT_NEUTRAL,,"For complaints, contact admin@grandparadise.com"
HOTEL_001_42c6244dd307,HOTEL_002,3,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,The owner Mr. Sharma was helpful but WiFi quality and connectivity could be better.
HOTEL_001_1dae00107786,HOTEL_002,4,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,Spoke with owner Rajesh Kumar about Check-in and check-out experience - he promised improvements.
HOTEL_001_eefeab01cff1,HOTEL_002,4,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,I paid 5815 rupees which felt high. Check-in and check-out experience was decent.
HOTEL_001_033f9b4d4c49,HOTEL_002,4,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,"Location is great, Rs. 6217 seemed expensive though. Bathroom quality and amenities was average."
HOTEL_001_9886aac28aca,HOTEL_002,5,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,The owner Mr. Sharma was helpful but Hotel location and nearby attractions could be better.
HOTEL_001_87bf7976aea1,HOTEL_002,3,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,The owner Mr. Sharma was helpful but Safety and security measures could be better.
HOTEL_001_336e0c41d8cb,HOTEL_002,5,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,The room was nice but I paid ₹4869 per night. Bathroom quality and amenities was okay.
HOTEL_001_a29b12092198,HOTEL_002,4,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,"The owner Mr. Sharma was helpful but Pool, gym, and other amenities could be better."
HOTEL_001_31dc50b55d12,HOTEL_002,3,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,I paid 3271 rupees which felt high. Breakfast and restaurant food quality was decent.
HOTEL_001_2b8a575e8bcf,HOTEL_002,1,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,The room was nice but I paid ₹7150 per night. Bathroom quality and amenities was okay.
HOTEL_001_fea7bbd0cc4e,HOTEL_002,4,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,The owner Mr. Sharma was helpful but Hotel location and nearby attractions could be better.
HOTEL_001_b5a371af081a,HOTEL_002,3,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,Bloody awful Parking availability and quality! Worst experience ever!
HOTEL_001_abf05138447d,HOTEL_002,1,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,Manager Priya was nice but the Noise levels and quiet atmosphere was disappointing.
HOTEL_001_69f4317faad4,HOTEL_002,5,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,The damn Staff behavior and customer service was horrible! Waste of money!
HOTEL_001_9e3437068566,HOTEL_002,2,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,Spoke with owner Rajesh Kumar about Cleanliness and room condition - he promised improvements.
HOTEL_001_bb81e3367ce2,HOTEL_002,5,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,Bloody awful Noise levels and quiet atmosphere! Worst experience ever!
HOTEL_001_00dc413ee45a,HOTEL_002,5,REJECT,Phone number or email address present,SENTIMENT_NEUTRAL; CONTACT_INFO_MENTIONED,SENTIMENT_NEUTRAL,,"For complaints, contact 9876543210"
HOTEL_001_af84c4f3f309,HOTEL_002,4,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,Spoke with owner Rajesh Kumar about Hotel location and nearby attractions - he promised improvements.
HOTEL_001_02f76a1395b9,HOTEL_002,5,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,The owner Mr. Sharma was helpful but Safety and security measures could be better.
HOTEL_001_bede601e4990,HOTEL_002,4,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,The owner Mr. Sharma was helpful but Check-in and check-out experience could be better.
HOTEL_001_34d2a4ef24d4,HOTEL_002,1,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,The owner Mr. Sharma was helpful but Cleanliness and room condition could be better.
HOTEL_001_fcac0effc788,HOTEL_002,4,REJECT,"Price, tariff, or monetary amount mentioned",SENTIMENT_NEUTRAL; PRICE_MENTIONED,SENTIMENT_NEUTRAL,,The room was nice but I paid ₹5413 per night. Noise levels and quiet atmosphere was okay.
HOTEL_001_697eada3bf20,HOTEL_002,1,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,Manager Priya was nice but the Cleanliness and room condition was disappointing.
HOTEL_001_4ea56e36736c,HOTEL_002,5,REJECT,Contains profanity or abusive language,SENTIMENT_NEUTRAL; ABUSIVE_CONTENT,SENTIMENT_NEUTRAL,,The damn Cleanliness and room condition was horrible! Waste of money!
HOTEL_001_211fb3e483bb,HOTEL_002,5,REJECT,Hotel owner or manager name mentioned,SENTIMENT_NEUTRAL; OWNER_MENTIONED,SENTIMENT_NEUTRAL,,"The owner Mr. Sharma was helpful but Pool, gym, and other amenities could be better."
